[06:30:01] === Daily ETL start ===
[06:30:01] --- Running --update ---
[06:33:51] $AVDL: possibly delisted; no price data found  (1d 2026-02-14 -> 2026-04-04)
[06:35:08] $BFK: possibly delisted; no price data found  (1d 2026-02-10 -> 2026-04-04)
[06:38:28] $CFLT: possibly delisted; no price data found  (1d 2026-03-18 -> 2026-04-04)
[06:39:02] $CIVI: possibly delisted; no price data found  (1d 2026-01-30 -> 2026-04-04) (Yahoo error = "No data found, symbol may be delisted")
[06:41:26] $CYBR: possibly delisted; no price data found  (1d 2026-02-14 -> 2026-04-04)
[06:42:48] $DMNID: possibly delisted; no price data found  (1d 2026-04-02 -> 2026-04-04) (Yahoo error = "No data found, symbol may be delisted")
[06:43:11] ­ƒöü Actualizando precios incrementales...
[06:43:11] [A ÔåÉ A] upserts: 1
[06:43:11] [AA ÔåÉ AA] upserts: 1
[06:43:11] [AAL ÔåÉ AAL] upserts: 1
[06:43:11] [AAON ÔåÉ AAON] upserts: 1
[06:43:11] [AAP ÔåÉ AAP] upserts: 1
[06:43:11] [AAPL ÔåÉ AAPL] upserts: 1
[06:43:11] [AAPX ÔåÉ AAPX] upserts: 1
[06:43:11] [AAXJ ÔåÉ AAXJ] upserts: 1
[06:43:11] [ABBV ÔåÉ ABBV] upserts: 1
[06:43:11] [ABCL ÔåÉ ABCL] upserts: 1
[06:43:11] [ABEV ÔåÉ ABEV] upserts: 1
[06:43:11] [ABM ÔåÉ ABM] upserts: 1
[06:43:11] [ABNB ÔåÉ ABNB] upserts: 1
[06:43:11] [ABR ÔåÉ ABR] upserts: 1
[06:43:11] [ABT ÔåÉ ABT] upserts: 1
[06:43:11] [ABVC ÔåÉ ABVC] upserts: 1
[06:43:11] [ACB ÔåÉ ACB] upserts: 1
[06:43:11] [ACET ÔåÉ ACET] upserts: 1
[06:43:11] [ACHR ÔåÉ ACHR] upserts: 1
[06:43:11] [ACI ÔåÉ ACI] upserts: 1
[06:43:11] [ACLS ÔåÉ ACLS] upserts: 1
[06:43:11] [ACM ÔåÉ ACM] upserts: 1
[06:43:11] [ACMR ÔåÉ ACMR] upserts: 1
[06:43:11] [ACN ÔåÉ ACN] upserts: 1
[06:43:11] [ACP ÔåÉ ACP] upserts: 1
[06:43:11] [ACT ÔåÉ ACT] upserts: 1
[06:43:11] [ACWI ÔåÉ ACWI] upserts: 1
[06:43:11] [ACWV ÔåÉ ACWV] upserts: 1
[06:43:11] [ACWX ÔåÉ ACWX] upserts: 1
[06:43:11] [ADAG ÔåÉ ADAG] upserts: 1
[06:43:11] [ADBE ÔåÉ ADBE] upserts: 1
[06:43:11] [ADC ÔåÉ ADC] upserts: 1
[06:43:11] [ADI ÔåÉ ADI] upserts: 1
[06:43:11] [ADM ÔåÉ ADM] upserts: 1
[06:43:11] [ADMA ÔåÉ ADMA] upserts: 1
[06:43:11] [ADP ÔåÉ ADP] upserts: 1
[06:43:11] [ADSK ÔåÉ ADSK] upserts: 1
[06:43:11] [ADT ÔåÉ ADT] upserts: 1
[06:43:11] [AEHR ÔåÉ AEHR] upserts: 1
[06:43:11] [AEM ÔåÉ AEM] upserts: 1
[06:43:12] [AEO ÔåÉ AEO] upserts: 1
[06:43:12] [AEP ÔåÉ AEP] upserts: 1
[06:43:12] [AER ÔåÉ AER] upserts: 1
[06:43:12] [AES ÔåÉ AES] upserts: 1
[06:43:12] [AETH ÔåÉ AETH] upserts: 1
[06:43:12] [AFCG ÔåÉ AFCG] upserts: 1
[06:43:12] [AFL ÔåÉ AFL] upserts: 1
[06:43:12] [AFRM ÔåÉ AFRM] upserts: 1
[06:43:12] [AG ÔåÉ AG] upserts: 1
[06:43:12] [AGCO ÔåÉ AGCO] upserts: 1
[06:43:12] [AGEN ÔåÉ AGEN] upserts: 1
[06:43:12] [AGG ÔåÉ AGG] upserts: 1
[06:43:12] [AGM ÔåÉ AGM] upserts: 1
[06:43:12] [AGNC ÔåÉ AGNC] upserts: 1
[06:43:12] [AGQ ÔåÉ AGQ] upserts: 1
[06:43:12] [AGRO ÔåÉ AGRO] upserts: 1
[06:43:12] [AGX ÔåÉ AGX] upserts: 1
[06:43:12] [AGZ ÔåÉ AGZ] upserts: 1
[06:43:12] [AI ÔåÉ AI] upserts: 1
[06:43:12] [AIA ÔåÉ AIA] upserts: 1
[06:43:12] [AIEQ ÔåÉ AIEQ] upserts: 1
[06:43:12] [AIP ÔåÉ AIP] upserts: 1
[06:43:12] [AIPI ÔåÉ AIPI] upserts: 1
[06:43:12] [AIRR ÔåÉ AIRR] upserts: 1
[06:43:12] [AL ÔåÉ AL] upserts: 1
[06:43:12] [ALAB ÔåÉ ALAB] upserts: 1
[06:43:12] [ALB ÔåÉ ALB] upserts: 1
[06:43:12] [ALGN ÔåÉ ALGN] upserts: 1
[06:43:12] [ALKS ÔåÉ ALKS] upserts: 1
[06:43:12] [ALKT ÔåÉ ALKT] upserts: 1
[06:43:12] [ALLY ÔåÉ ALLY] upserts: 1
[06:43:12] [ALNT ÔåÉ ALNT] upserts: 1
[06:43:12] [ALRM ÔåÉ ALRM] upserts: 1
[06:43:12] [ALTO ÔåÉ ALTO] upserts: 1
[06:43:12] [ALX ÔåÉ ALX] upserts: 1
[06:43:12] [AMAT ÔåÉ AMAT] upserts: 1
[06:43:12] [AMBA ÔåÉ AMBA] upserts: 1
[06:43:12] [AMC ÔåÉ AMC] upserts: 1
[06:43:12] [AMCR ÔåÉ AMCR] upserts: 1
[06:43:12] [AMD ÔåÉ AMD] upserts: 1
[06:43:12] [AMDY ÔåÉ AMDY] upserts: 1
[06:43:12] [AMGN ÔåÉ AMGN] upserts: 1
[06:43:12] [AMKR ÔåÉ AMKR] upserts: 1
[06:43:12] [AMN ÔåÉ AMN] upserts: 1
[06:43:12] [AMP ÔåÉ AMP] upserts: 1
[06:43:12] [AMPH ÔåÉ AMPH] upserts: 1
[06:43:12] [AMR ÔåÉ AMR] upserts: 1
[06:43:12] [AMRC ÔåÉ AMRC] upserts: 1
[06:43:12] [AMSC ÔåÉ AMSC] upserts: 1
[06:43:12] [AMT ÔåÉ AMT] upserts: 1
[06:43:12] [AMTX ÔåÉ AMTX] upserts: 1
[06:43:12] [AMX ÔåÉ AMX] upserts: 1
[06:43:12] [AMZN ÔåÉ AMZN] upserts: 1
[06:43:12] [AMZY ÔåÉ AMZY] upserts: 1
[06:43:12] [AMZZ ÔåÉ AMZZ] upserts: 1
[06:43:12] [AN ÔåÉ AN] upserts: 1
[06:43:12] [ANET ÔåÉ ANET] upserts: 1
[06:43:12] [ANF ÔåÉ ANF] upserts: 1
[06:43:12] [ANGI ÔåÉ ANGI] upserts: 1
[06:43:12] [ANGL ÔåÉ ANGL] upserts: 1
[06:43:12] [ANIP ÔåÉ ANIP] upserts: 1
[06:43:12] [AOA ÔåÉ AOA] upserts: 1
[06:43:12] [AOK ÔåÉ AOK] upserts: 1
[06:43:12] [AOM ÔåÉ AOM] upserts: 1
[06:43:12] [AOMR ÔåÉ AOMR] upserts: 1
[06:43:12] [AON ÔåÉ AON] upserts: 1
[06:43:12] [AOR ÔåÉ AOR] upserts: 1
[06:43:12] [AOS ÔåÉ AOS] upserts: 1
[06:43:12] [AOSL ÔåÉ AOSL] upserts: 1
[06:43:12] [APA ÔåÉ APA] upserts: 1
[06:43:12] [APD ÔåÉ APD] upserts: 1
[06:43:12] [APG ÔåÉ APG] upserts: 1
[06:43:12] [APH ÔåÉ APH] upserts: 1
[06:43:12] [APLD ÔåÉ APLD] upserts: 1
[06:43:12] [APLE ÔåÉ APLE] upserts: 1
[06:43:12] [APLS ÔåÉ APLS] upserts: 1
[06:43:12] [APLY ÔåÉ APLY] upserts: 1
[06:43:12] [APO ÔåÉ APO] upserts: 1
[06:43:12] [APP ÔåÉ APP] upserts: 1
[06:43:12] [APPF ÔåÉ APPF] upserts: 1
[06:43:12] [APPS ÔåÉ APPS] upserts: 1
[06:43:12] [APTV ÔåÉ APTV] upserts: 1
[06:43:12] [AQB ÔåÉ AQB] upserts: 1
[06:43:12] [AQLT ÔåÉ AQLT] upserts: 1
[06:43:12] [AQN ÔåÉ AQN] upserts: 1
[06:43:12] [AR ÔåÉ AR] upserts: 1
[06:43:12] [ARCC ÔåÉ ARCC] upserts: 1
[06:43:12] [ARCO ÔåÉ ARCO] upserts: 1
[06:43:12] [ARE ÔåÉ ARE] upserts: 1
[06:43:12] [ARES ÔåÉ ARES] upserts: 1
[06:43:12] [ARGT ÔåÉ ARGT] upserts: 1
[06:43:12] [ARGX ÔåÉ ARGX] upserts: 1
[06:43:12] [ARHS ÔåÉ ARHS] upserts: 1
[06:43:12] [ARIS ÔåÉ ARIS] upserts: 1
[06:43:12] [ARKB ÔåÉ ARKB] upserts: 1
[06:43:12] [ARKF ÔåÉ ARKF] upserts: 1
[06:43:12] [ARKG ÔåÉ ARKG] upserts: 1
[06:43:12] [ARKK ÔåÉ ARKK] upserts: 1
[06:43:12] [ARKQ ÔåÉ ARKQ] upserts: 1
[06:43:12] [ARKW ÔåÉ ARKW] upserts: 1
[06:43:12] [ARKX ÔåÉ ARKX] upserts: 1
[06:43:12] [ARM ÔåÉ ARM] upserts: 1
[06:43:12] [AROC ÔåÉ AROC] upserts: 1
[06:43:12] [ARR ÔåÉ ARR] upserts: 1
[06:43:12] [ARRY ÔåÉ ARRY] upserts: 1
[06:43:12] [ARTY ÔåÉ ARTY] upserts: 1
[06:43:12] [ASA ÔåÉ ASA] upserts: 1
[06:43:12] [ASAN ÔåÉ ASAN] upserts: 1
[06:43:12] [ASML ÔåÉ ASML] upserts: 1
[06:43:12] [ASND ÔåÉ ASND] upserts: 1
[06:43:12] [ASO ÔåÉ ASO] upserts: 1
[06:43:12] [ASPN ÔåÉ ASPN] upserts: 1
[06:43:12] [ASR ÔåÉ ASR] upserts: 1
[06:43:12] [ASRT ÔåÉ ASRT] upserts: 1
[06:43:12] [ASTS ÔåÉ ASTS] upserts: 1
[06:43:12] [ASUR ÔåÉ ASUR] upserts: 1
[06:43:12] [ASX ÔåÉ ASX] upserts: 1
[06:43:12] [ATEC ÔåÉ ATEC] upserts: 1
[06:43:12] [ATER ÔåÉ ATER] upserts: 1
[06:43:12] [ATEX ÔåÉ ATEX] upserts: 1
[06:43:12] [ATHM ÔåÉ ATHM] upserts: 1
[06:43:12] [ATI ÔåÉ ATI] upserts: 1
[06:43:12] [ATKR ÔåÉ ATKR] upserts: 1
[06:43:12] [ATO ÔåÉ ATO] upserts: 1
[06:43:12] [ATRO ÔåÉ ATRO] upserts: 1
[06:43:12] [AU ÔåÉ AU] upserts: 1
[06:43:12] [AUNA ÔåÉ AUNA] upserts: 1
[06:43:12] [AVAL ÔåÉ AVAL] upserts: 1
[06:43:12] [AVAV ÔåÉ AVAV] upserts: 1
[06:43:12] [AVDV ÔåÉ AVDV] upserts: 1
[06:43:12] [AVES ÔåÉ AVES] upserts: 1
[06:43:12] [AVGO ÔåÉ AVGO] upserts: 1
[06:43:12] [AVMC ÔåÉ AVMC] upserts: 1
[06:43:12] [AVNW ÔåÉ AVNW] upserts: 1
[06:43:12] [AVO ÔåÉ AVO] upserts: 1
[06:43:12] [AVT ÔåÉ AVT] upserts: 1
[06:43:12] [AVTR ÔåÉ AVTR] upserts: 1
[06:43:12] [AVUV ÔåÉ AVUV] upserts: 1
[06:43:12] [AVY ÔåÉ AVY] upserts: 1
[06:43:12] [AWAY ÔåÉ AWAY] upserts: 1
[06:43:12] [AWK ÔåÉ AWK] upserts: 1
[06:43:12] [AWR ÔåÉ AWR] upserts: 1
[06:43:12] [AX ÔåÉ AX] upserts: 1
[06:43:12] [AXON ÔåÉ AXON] upserts: 1
[06:43:12] [AXP ÔåÉ AXP] upserts: 1
[06:43:12] [AXSM ÔåÉ AXSM] upserts: 1
[06:43:12] [AZN ÔåÉ AZN] upserts: 1
[06:43:12] [AZO ÔåÉ AZO] upserts: 1
[06:43:12] [B ÔåÉ B] upserts: 1
[06:43:12] [BA ÔåÉ BA] upserts: 1
[06:43:12] [BABA ÔåÉ BABA] upserts: 1
[06:43:12] [BAC ÔåÉ BAC] upserts: 1
[06:43:12] [BAH ÔåÉ BAH] upserts: 1
[06:43:12] [BALI ÔåÉ BALI] upserts: 1
[06:43:12] [BAM ÔåÉ BAM] upserts: 1
[06:43:12] [BANC ÔåÉ BANC] upserts: 1
[06:43:12] [BAP ÔåÉ BAP] upserts: 1
[06:43:12] [BATT ÔåÉ BATT] upserts: 1
[06:43:12] [BAX ÔåÉ BAX] upserts: 1
[06:43:12] [BB ÔåÉ BB] upserts: 1
[06:43:12] [BBAI ÔåÉ BBAI] upserts: 1
[06:43:12] [BBAX ÔåÉ BBAX] upserts: 1
[06:43:12] [BBCA ÔåÉ BBCA] upserts: 1
[06:43:12] [BBD ÔåÉ BBD] upserts: 1
[06:43:12] [BBDC ÔåÉ BBDC] upserts: 1
[06:43:12] [BBEU ÔåÉ BBEU] upserts: 1
[06:43:12] [BBH ÔåÉ BBH] upserts: 1
[06:43:12] [BBIN ÔåÉ BBIN] upserts: 1
[06:43:12] [BBJP ÔåÉ BBJP] upserts: 1
[06:43:12] [BBNX ÔåÉ BBNX] upserts: 1
[06:43:12] [BBVA ÔåÉ BBVA] upserts: 1
[06:43:12] [BBY ÔåÉ BBY] upserts: 1
[06:43:12] [BC ÔåÉ BC] upserts: 1
[06:43:12] [BCC ÔåÉ BCC] upserts: 1
[06:43:12] [BCH ÔåÉ BCH] upserts: 1
[06:43:12] [BCS ÔåÉ BCS] upserts: 1
[06:43:12] [BDJ ÔåÉ BDJ] upserts: 1
[06:43:12] [BDN ÔåÉ BDN] upserts: 1
[06:43:12] [BDX ÔåÉ BDX] upserts: 1
[06:43:12] [BE ÔåÉ BE] upserts: 1
[06:43:12] [BEAM ÔåÉ BEAM] upserts: 1
[06:43:12] [BEKE ÔåÉ BEKE] upserts: 1
[06:43:12] [BELFB ÔåÉ BELFB] upserts: 1
[06:43:12] [BELT ÔåÉ BELT] upserts: 1
[06:43:12] [BEN ÔåÉ BEN] upserts: 1
[06:43:12] [BEP ÔåÉ BEP] upserts: 1
[06:43:12] [BETR ÔåÉ BETR] upserts: 1
[06:43:12] [BF-B ÔåÉ BF-B] upserts: 1
[06:43:12] [BFH ÔåÉ BFH] upserts: 1
[06:43:12] [BFLY ÔåÉ BFLY] upserts: 1
[06:43:12] [BGMS ÔåÉ BGMS] upserts: 1
[06:43:12] [BGRO ÔåÉ BGRO] upserts: 1
[06:43:12] [BHB ÔåÉ BHB] upserts: 1
[06:43:12] [BHC ÔåÉ BHC] upserts: 1
[06:43:12] [BHP ÔåÉ BHP] upserts: 1
[06:43:12] [BIB ÔåÉ BIB] upserts: 1
[06:43:12] [BIBL ÔåÉ BIBL] upserts: 1
[06:43:12] [BIDU ÔåÉ BIDU] upserts: 1
[06:43:12] [BIIB ÔåÉ BIIB] upserts: 1
[06:43:12] [BIL ÔåÉ BIL] upserts: 1
[06:43:12] [BILI ÔåÉ BILI] upserts: 1
[06:43:12] [BILL ÔåÉ BILL] upserts: 1
[06:43:12] [BINC ÔåÉ BINC] upserts: 1
[06:43:12] [BINI ÔåÉ BINI] upserts: 1
[06:43:12] [BIO ÔåÉ BIO] upserts: 1
[06:43:12] [BIP ÔåÉ BIP] upserts: 1
[06:43:12] [BIPC ÔåÉ BIPC] upserts: 1
[06:43:12] [BIRD ÔåÉ BIRD] upserts: 1
[06:43:12] [BIRK ÔåÉ BIRK] upserts: 1
[06:43:12] [BITB ÔåÉ BITB] upserts: 1
[06:43:12] [BITC ÔåÉ BITC] upserts: 1
[06:43:12] [BITF ÔåÉ BITF] upserts: 1
[06:43:12] [BITI ÔåÉ BITI] upserts: 1
[06:43:12] [BITO ÔåÉ BITO] upserts: 1
[06:43:12] [BITW ÔåÉ BITW] upserts: 1
[06:43:12] [BITX ÔåÉ BITX] upserts: 1
[06:43:12] [BIV ÔåÉ BIV] upserts: 1
[06:43:12] [BIZD ÔåÉ BIZD] upserts: 1
[06:43:12] [BJ ÔåÉ BJ] upserts: 1
[06:43:12] [BJDX ÔåÉ BJDX] upserts: 1
[06:43:12] [BK ÔåÉ BK] upserts: 1
[06:43:12] [BKE ÔåÉ BKE] upserts: 1
